time,speed,throttle
0,219,33
0.0253282,158,33
0.050648,158,33
0.0758541,154,33
0.10101,155,33
0.126266,155,33
0.151528,157,33
0.176735,156,33
0.204442,156,33
0.229684,157,33
0.254938,158,33
0.280175,158,33
0.305501,158,33
0.330798,155,33
0.356293,159,33
0.381517,159,33
0.407759,153,33
0.441597,157,33
0.466929,216,33
0.492146,156,33
0.517356,156,33
0.542663,152,33
0.568476,152,33
0.593672,156,33
0.618875,153,33
0.644127,153,33
0.671839,153,33
0.697064,153,33
0.722309,150,33
0.74753,151,33
0.772819,151,33
0.798013,147,33
0.823647,211,33
0.849001,145,33
0.874241,145,33
0.899435,208,33
0.924789,209,33
0.952612,145,33
0.978026,145,33
1.00325,146,33
1.02844,146,33
1.05365,148,33
1.07889,148,33
1.1041,148,33
1.12929,147,33
1.15455,147,33
1.17983,147,33
1.20511,147,33
1.2303,146,33
1.2556,144,33
1.28085,144,33
1.30607,144,33
1.33132,144,33
1.35674,208,33
1.38259,144,33
1.4078,144,33
1.43302,145,33
1.45968,145,33
1.48487,145,33
1.51018,145,33
1.53543,145,33
1.56071,208,33
1.58604,144,33
1.61126,144,33
1.63697,143,33
1.66277,143,33
1.68807,143,33
1.71346,143,33
1.73886,143,33
1.76405,143,33
1.78926,143,33
1.8146,144,33
1.83994,144,33
1.86515,146,33
1.89039,214,33
1.91565,148,33
1.94097,148,33
1.96618,150,33
1.99139,150,33
2.01663,148,33
2.04193,150,33
2.06714,147,33
2.0923,147,33
2.11755,146,33
2.14283,145,33
2.1684,145,33
2.19394,145,33
2.21917,145,33
2.24439,145,33
2.26979,145,33
2.29498,145,33
2.32019,146,33
2.34551,146,33
2.37124,147,33
2.39676,210,33
2.42212,147,33
2.44746,211,33
2.47266,147,33
2.49784,147,33
2.52305,147,33
2.55355,211,33
2.57933,211,33
2.60456,211,33
2.62974,147,33
2.65497,149,33
2.6803,151,33
2.70557,150,33
2.73075,152,33
2.75595,152,33
2.78121,152,33
2.80643,153,33
2.83163,153,33
2.85685,153,33
2.88222,152,33
2.90753,216,33
2.93271,151,33
2.95794,151,33
2.98315,151,33
