time,speed,throttle
0,146,31
0.025296,147,31
0.050499,147,31
0.0758321,148,31
0.103171,148,31
0.128497,151,31
0.153757,214,31
0.179148,150,31
0.20433,150,31
0.229759,151,31
0.254997,151,31
0.280225,151,31
0.305538,150,31
0.330741,150,31
0.356059,149,31
0.385009,149,31
0.410235,149,31
0.435501,149,31
0.461722,151,31
0.486957,150,31
0.512225,151,31
0.537422,151,31
0.562637,151,31
0.587842,151,31
0.613155,150,31
0.638335,149,31
0.663508,150,31
0.688754,214,31
0.714075,210,31
0.741134,209,31
0.766327,209,31
0.791565,209,31
0.816775,209,31
0.842014,209,31
0.867222,144,31
0.892676,208,31
0.917894,208,31
0.943106,145,31
0.968304,145,31
0.993901,145,31
1.01917,144,31
1.04436,144,31
1.06958,144,31
1.09486,207,31
1.12405,142,31
1.14942,142,31
1.17461,142,31
1.19982,142,31
1.2251,141,31
1.25034,141,31
1.27554,142,31
1.30074,142,31
1.32609,143,31
1.35135,144,31
1.37655,208,31
1.40182,144,31
1.42706,144,31
1.4523,144,31
1.47755,143,31
1.50275,206,31
1.52806,142,31
1.55659,141,31
1.58188,143,31
1.60851,203,31
1.63369,139,31
1.65891,139,31
1.68418,139,31
1.70937,138,31
1.73457,138,31
1.75984,139,31
1.78507,139,31
1.81033,139,31
1.83585,139,31
1.861,139,31
1.88937,139,31
1.91457,140,31
1.93996,140,31
1.96519,140,31
1.99104,140,31
2.01652,139,31
2.04206,139,31
2.06726,139,31
2.09292,139,31
2.11813,143,31
2.14333,143,31
2.16923,139,31
2.19742,140,31
2.22283,142,31
2.24802,206,31
2.27321,140,31
2.29845,140,31
2.32384,142,31
2.34996,140,31
2.37624,140,31
2.40163,203,31
2.42697,203,31
2.45269,201,31
2.47787,201,31
2.50361,137,31
2.52888,137,31
2.55426,136,31
2.57946,136,31
2.6047,136,31
2.62997,137,31
2.67109,203,31
2.69629,138,31
2.72293,139,31
2.74814,140,31
2.77335,140,31
2.79854,140,31
2.82396,141,31
2.84924,142,31
2.87442,140,31
2.89963,140,31
2.92492,139,31
2.95015,139,31
2.97537,139,31
