time,speed,throttle
9.53674e-07,195,40
0.0252221,195,40
0.0523899,195,40
0.077647,195,40
0.103106,195,40
0.128416,195,40
0.153969,210,40
0.179228,266,40
0.204505,256,40
0.229707,245,40
0.254924,245,40
0.282193,237,40
0.307512,231,40
0.332738,225,40
0.357948,221,40
0.383157,221,40
0.40837,216,40
0.433634,212,40
0.458863,209,40
0.484071,206,40
0.509279,206,40
0.538878,200,40
0.56407,198,40
0.589255,198,40
0.614776,198,40
0.64122,196,40
0.66669,195,40
0.691887,194,40
0.71796,194,40
0.743278,195,40
0.768483,194,40
0.793718,193,40
0.818927,193,40
0.850422,193,40
0.876031,191,40
0.901238,191,40
0.926452,191,40
0.951724,191,40
0.978132,190,40
1.00335,190,40
1.02859,188,40
1.05442,188,40
1.07966,188,40
1.1049,188,40
1.13052,187,40
1.15605,188,40
1.1813,188,40
1.20651,186,40
1.23174,186,40
1.25696,185,40
1.28233,185,40
1.30754,184,40
1.33417,183,40
1.35941,182,40
1.38464,182,40
1.40986,181,40
1.43508,181,40
1.46038,180,40
1.48563,180,40
1.51194,179,40
1.53714,177,40
1.56242,177,40
1.58785,176,40
1.61753,175,40
1.64275,175,40
1.66796,174,40
1.69449,173,40
1.72172,173,40
1.74882,173,40
1.77618,172,40
1.80179,172,40
1.82707,172,40
1.8524,172,40
1.879,171,40
1.90423,171,40
1.92946,172,40
1.95467,172,40
1.98001,173,40
2.00529,173,40
2.03054,173,40
2.05576,174,40
2.0813,174,40
2.10655,174,40
2.13424,174,40
2.15944,176,40
2.18468,177,40
2.20998,177,40
2.23536,177,40
2.26058,178,40
2.29058,179,40
2.31578,180,40
2.3412,180,40
2.36635,181,40
2.39164,181,40
2.41685,182,40
2.44207,182,40
2.46748,184,40
2.49268,185,40
2.51788,185,40
2.54314,185,40
2.57098,185,40
2.59642,187,40
2.62159,187,40
2.64755,187,40
2.6734,188,40
2.69868,188,40
2.7239,188,40
2.74929,189,40
2.77457,189,40
2.80095,189,40
2.82638,190,40
2.85167,189,40
2.87821,189,40
2.9035,188,40
2.9287,188,40
2.95413,187,40
2.97936,187,40
