time,speed,throttle
9.53674e-07,191,39
0.026022,191,39
0.05143,190,39
0.0766809,191,39
0.10189,191,39
0.127198,191,39
0.152486,190,39
0.177703,190,39
0.20293,191,39
0.228148,190,39
0.254034,190,39
0.279248,191,39
0.305558,191,39
0.330804,190,39
0.356041,190,39
0.381363,190,39
0.406567,190,39
0.431822,191,39
0.457114,191,39
0.482311,190,39
0.507522,190,39
0.539069,190,39
0.568174,190,39
0.593458,190,39
0.619966,190,39
0.645269,189,39
0.670566,188,39
0.695802,188,39
0.721581,188,39
0.748224,188,39
0.773421,188,39
0.801331,188,39
0.827281,189,39
0.852493,189,39
0.877712,188,39
0.903699,189,39
0.928916,189,39
0.955032,189,39
0.980891,189,39
1.00651,188,39
1.03471,188,39
1.06036,188,39
1.0875,188,39
1.11273,187,39
1.13796,186,39
1.1633,186,39
1.18854,186,39
1.21438,184,39
1.23974,183,39
1.26822,183,39
1.29347,181,39
1.31868,181,39
1.34389,180,39
1.36916,180,39
1.3945,180,39
1.41981,179,39
1.44502,179,39
1.4703,177,39
1.49782,176,39
1.52312,175,39
1.54887,175,39
1.57777,174,39
1.60303,173,39
1.62828,173,39
1.6535,170,39
1.67871,169,39
1.70415,169,39
1.72985,168,39
1.75508,167,39
1.78074,167,39
1.80614,166,39
1.83135,165,39
1.85667,165,39
1.88229,164,39
1.9075,164,39
1.93551,164,39
1.96184,164,39
1.98887,164,39
2.01408,163,39
2.0395,163,39
2.06476,163,39
2.09088,164,39
2.11608,164,39
2.14125,165,39
2.16657,165,39
2.19177,166,39
2.21696,167,39
2.24218,167,39
2.26739,168,39
2.29378,168,39
2.319,169,39
2.34747,169,39
2.37323,169,39
2.40143,170,39
2.42748,171,39
2.45339,171,39
2.47864,173,39
2.5042,174,39
2.52943,175,39
2.55463,175,39
2.57986,176,39
2.60601,177,39
2.63184,178,39
2.65706,178,39
2.68229,179,39
2.70751,179,39
2.73424,179,39
2.75944,179,39
2.78469,180,39
2.81006,181,39
2.83537,182,39
2.86057,182,39
2.88604,183,39
2.91157,183,39
2.93691,183,39
2.96239,183,39
2.98801,183,39
