time,speed,throttle
0,124,29
0.025389,124,29
0.0506289,124,29
0.0759289,124,29
0.102009,125,29
0.12724,125,29
0.152524,125,29
0.177738,125,29
0.202958,125,29
0.22859,125,29
0.253946,125,29
0.281382,126,29
0.306586,126,29
0.332131,126,29
0.357393,126,29
0.385054,126,29
0.410278,126,29
0.435494,126,29
0.461644,126,29
0.486882,126,29
0.51213,126,29
0.537771,125,29
0.563507,125,29
0.588728,125,29
0.613942,125,29
0.639353,125,29
0.664704,125,29
0.690043,125,29
0.715599,125,29
0.740824,125,29
0.766039,125,29
0.791284,125,29
0.816458,125,29
0.841695,125,29
0.866903,125,29
0.892386,125,29
0.917602,125,29
0.942833,125,29
0.968143,124,29
0.993673,124,29
1.01919,124,29
1.04444,125,29
1.06963,125,29
1.09498,125,29
1.1203,125,29
1.14553,125,29
1.17209,126,29
1.19732,126,29
1.22255,126,29
1.2482,126,29
1.27529,126,29
1.30069,126,29
1.32597,126,29
1.35123,126,29
1.37644,127,29
1.40175,127,29
1.42698,127,29
1.45224,127,29
1.47747,127,29
1.50289,128,29
1.52819,128,29
1.55479,128,29
1.58089,128,29
1.6061,128,29
1.6314,128,29
1.65672,128,29
1.68251,128,29
1.70773,129,29
1.73302,129,29
1.75829,129,29
1.7835,129,29
1.80966,129,29
1.83488,129,29
1.86179,129,29
1.887,129,29
1.91263,129,29
1.93817,128,29
1.96342,128,29
1.98862,129,29
2.01385,129,29
2.03923,129,29
2.06445,129,29
2.09265,129,29
2.11798,129,29
2.14332,129,29
2.1692,129,29
2.19457,129,29
2.21976,129,29
2.24508,129,29
2.2709,129,29
2.29716,129,29
2.3224,130,29
2.34779,129,29
2.37479,129,29
2.40173,129,29
2.42788,129,29
2.45308,130,29
2.47829,130,29
2.50385,130,29
2.52931,131,29
2.55459,131,29
2.58279,131,29
2.60964,131,29
2.63508,131,29
2.66227,131,29
2.69241,132,29
2.71888,132,29
2.74445,132,29
2.7697,133,29
2.79669,132,29
2.82248,132,29
2.84901,132,29
2.87434,132,29
2.89956,133,29
2.92481,133,29
2.95005,133,29
2.97535,133,29
