time,speed,throttle
0,186,38
0.025209,185,38
0.050638,185,38
0.075892,185,38
0.101504,185,38
0.126761,185,38
0.151983,184,38
0.177204,184,38
0.203566,184,38
0.228775,184,38
0.257386,184,38
0.285836,184,38
0.311143,184,38
0.336358,183,38
0.361602,183,38
0.386943,183,38
0.412149,183,38
0.437575,183,38
0.462859,183,38
0.490357,183,38
0.515797,183,38
0.541289,182,38
0.566498,182,38
0.591697,182,38
0.616904,182,38
0.647966,182,38
0.675968,182,38
0.701199,182,38
0.726936,182,38
0.752175,182,38
0.77737,181,38
0.804716,182,38
0.829926,181,38
0.856237,180,38
0.881456,179,38
0.90925,179,38
0.93444,179,38
0.959646,179,38
0.987032,178,38
1.01234,178,38
1.03755,179,38
1.06276,179,38
1.088,178,38
1.11354,178,38
1.14023,179,38
1.16548,179,38
1.19074,179,38
1.21605,178,38
1.2413,178,38
1.26816,178,38
1.29344,178,38
1.31923,177,38
1.34447,177,38
1.36974,176,38
1.39499,176,38
1.42021,176,38
1.4465,175,38
1.47171,175,38
1.49693,175,38
1.52288,173,38
1.54812,172,38
1.57334,172,38
1.59854,172,38
1.62409,170,38
1.64934,170,38
1.67605,170,38
1.7013,169,38
1.72652,169,38
1.75174,168,38
1.78276,167,38
1.80986,166,38
1.83507,165,38
1.86091,165,38
1.88659,164,38
1.91178,162,38
1.93699,162,38
1.9622,161,38
1.98763,161,38
2.01345,161,38
2.03894,160,38
2.06416,159,38
2.08939,159,38
2.11461,159,38
2.1401,158,38
2.16534,158,38
2.1906,159,38
2.22046,159,38
2.24797,159,38
2.2732,159,38
2.29888,159,38
2.32408,159,38
2.34931,158,38
2.37457,160,38
2.39991,160,38
2.42513,160,38
2.45037,160,38
2.47561,160,38
2.501,161,38
2.52624,162,38
2.55309,163,38
2.57828,164,38
2.6035,164,38
2.62894,166,38
2.65428,165,38
2.67954,166,38
2.70473,166,38
2.73098,167,38
2.7562,169,38
2.7815,169,38
2.80671,169,38
2.83191,170,38
2.85752,171,38
2.88477,171,38
2.91048,172,38
2.93568,172,38
2.96092,173,38
2.98642,173,38
