time,speed,throttle
0,178,34
0.0265129,178,34
0.051718,178,34
0.0778918,178,34
0.10326,177,34
0.128482,177,34
0.153673,178,34
0.179889,178,34
0.205152,178,34
0.230408,178,34
0.255633,179,34
0.280843,179,34
0.306249,179,34
0.331456,179,34
0.356664,180,34
0.381936,180,34
0.407318,180,34
0.432527,179,34
0.460237,179,34
0.485519,179,34
0.51128,180,34
0.53653,180,34
0.563302,180,34
0.589012,180,34
0.614286,181,34
0.639512,181,34
0.664784,182,34
0.690456,182,34
0.716905,182,34
0.742144,183,34
0.767369,182,34
0.792683,182,34
0.817886,182,34
0.843849,183,34
0.869158,184,34
0.89541,185,34
0.920601,185,34
0.945811,186,34
0.971011,186,34
1.00396,187,34
1.03106,187,34
1.05631,188,34
1.08153,188,34
1.10675,188,34
1.13201,188,34
1.15725,188,34
1.18247,188,34
1.20771,188,34
1.2331,189,34
1.25831,189,34
1.2835,189,34
1.31118,188,34
1.33784,188,34
1.3642,187,34
1.39196,187,34
1.41742,185,34
1.44297,184,34
1.46824,183,34
1.4939,183,34
1.51919,181,34
1.54446,180,34
1.56969,179,34
1.59518,178,34
1.62037,177,34
1.64588,177,34
1.67133,176,34
1.69675,176,34
1.7224,176,34
1.74864,174,34
1.77392,173,34
1.79917,174,34
1.82462,174,34
1.85073,174,34
1.87661,174,34
1.90179,174,34
1.92855,174,34
1.95377,174,34
1.97957,175,34
2.00479,175,34
2.03032,176,34
2.05553,176,34
2.0821,175,34
2.10756,175,34
2.13291,175,34
2.15814,175,34
2.18463,176,34
2.20983,176,34
2.23558,175,34
2.26203,175,34
2.28743,175,34
2.31268,175,34
2.3387,175,34
2.36408,175,34
2.38963,175,34
2.41484,175,34
2.44014,173,34
2.46596,173,34
2.49149,172,34
2.51678,173,34
2.54462,172,34
2.5699,172,34
2.59509,172,34
2.62055,171,34
2.64624,171,34
2.67148,170,34
2.69684,170,34
2.72204,170,34
2.74733,171,34
2.77258,169,34
2.7978,169,34
2.82301,168,34
2.84822,168,34
2.87351,168,34
2.89881,167,34
2.92534,166,34
2.95055,166,34
2.97581,165,34
