time,speed,throttle
9.53674e-07,181,36
0.025337,181,36
0.0509598,180,36
0.076221,178,36
0.102309,177,36
0.128093,177,36
0.153644,177,36
0.180395,177,36
0.205619,177,36
0.230832,176,36
0.25606,176,36
0.281401,176,36
0.306635,176,36
0.331884,175,36
0.357587,174,36
0.383054,174,36
0.40829,174,36
0.433577,172,36
0.459689,172,36
0.486258,172,36
0.511769,172,36
0.537174,172,36
0.562637,172,36
0.588368,172,36
0.615123,172,36
0.640612,171,36
0.668027,171,36
0.695583,171,36
0.720904,170,36
0.748152,171,36
0.773461,170,36
0.798824,170,36
0.825626,170,36
0.850846,170,36
0.876062,170,36
0.902726,170,36
0.927963,170,36
0.956613,170,36
0.982307,170,36
1.00765,170,36
1.03287,170,36
1.05837,170,36
1.08361,170,36
1.10885,170,36
1.13406,168,36
1.16221,168,36
1.18746,168,36
1.21273,168,36
1.24023,168,36
1.26579,167,36
1.29099,166,36
1.31619,166,36
1.34146,166,36
1.36748,166,36
1.39301,165,36
1.41875,165,36
1.45225,165,36
1.47753,165,36
1.50427,164,36
1.52947,164,36
1.5547,164,36
1.57996,164,36
1.6057,164,36
1.63123,164,36
1.65752,163,36
1.68368,163,36
1.70889,163,36
1.73413,163,36
1.75951,162,36
1.78501,162,36
1.81025,162,36
1.83616,161,36
1.86168,161,36
1.88688,159,36
1.91254,159,36
1.93842,158,36
1.96377,158,36
1.98892,158,36
2.01427,157,36
2.03981,157,36
2.06512,157,36
2.09039,156,36
2.11654,155,36
2.14185,155,36
2.16705,155,36
2.19235,155,36
2.21756,154,36
2.2439,154,36
2.26912,152,36
2.29431,151,36
2.32055,151,36
2.34575,152,36
2.37096,152,36
2.39622,151,36
2.4215,151,36
2.44676,151,36
2.47289,151,36
2.49835,150,36
2.52382,150,36
2.55483,150,36
2.58008,150,36
2.6053,150,36
2.63287,149,36
2.65811,149,36
2.68333,149,36
2.70853,149,36
2.73474,149,36
2.75997,150,36
2.78547,150,36
2.81066,150,36
2.8365,150,36
2.86172,150,36
2.88695,151,36
2.91304,152,36
2.93825,152,36
2.96346,153,36
2.98983,153,36
