time,speed,throttle
9.53674e-07,187,35
0.0260859,187,35
0.0513639,186,35
0.0765779,186,35
0.101797,186,35
0.127057,186,35
0.152278,200,35
0.179926,256,35
0.205674,246,35
0.231609,237,35
0.257512,237,35
0.28956,224,35
0.314767,218,35
0.339941,218,35
0.365148,212,35
0.390616,208,35
0.41576,205,35
0.440976,202,35
0.46637,202,35
0.493535,200,35
0.518751,199,35
0.54416,197,35
0.569326,197,35
0.595505,197,35
0.621056,196,35
0.646413,195,35
0.672056,193,35
0.697288,193,35
0.722502,193,35
0.74782,193,35
0.773349,193,35
0.799335,193,35
0.824867,193,35
0.8501,194,35
0.875773,194,35
0.900996,195,35
0.926239,195,35
0.953661,196,35
0.982332,196,35
1.00756,195,35
1.03529,194,35
1.06066,196,35
1.08591,197,35
1.11134,197,35
1.13689,196,35
1.16229,196,35
1.18973,195,35
1.21866,195,35
1.24465,194,35
1.26988,194,35
1.29511,191,35
1.32275,189,35
1.34798,189,35
1.37345,188,35
1.40005,187,35
1.42526,187,35
1.45234,187,35
1.48152,186,35
1.50677,186,35
1.5321,185,35
1.55757,185,35
1.58283,185,35
1.61012,185,35
1.63583,184,35
1.66237,184,35
1.68888,183,35
1.71414,183,35
1.73934,183,35
1.76577,184,35
1.79101,185,35
1.81622,185,35
1.84143,185,35
1.86693,185,35
1.89218,185,35
1.9175,185,35
1.9428,184,35
1.97169,184,35
1.9988,183,35
2.02507,183,35
2.05105,183,35
2.07626,183,35
2.10151,183,35
2.12978,183,35
2.15491,183,35
2.1804,183,35
2.20558,183,35
2.23102,182,35
2.25641,181,35
2.28183,181,35
2.3075,180,35
2.33278,179,35
2.35798,179,35
2.38368,179,35
2.40896,178,35
2.43418,177,35
2.45947,177,35
2.48467,177,35
2.50987,177,35
2.53607,176,35
2.56135,176,35
2.58654,176,35
2.61254,175,35
2.63894,174,35
2.66418,173,35
2.68937,173,35
2.71489,173,35
2.74032,173,35
2.76557,171,35
2.79078,171,35
2.81766,170,35
2.84288,169,35
2.86815,169,35
2.89337,169,35
2.91864,167,35
2.94383,167,35
2.96907,166,35
2.99429,164,35
